system,rule,point,deletions,loo_mean,loo_sd,below_point,bias_estimate,bias_over_point
australia_as_legislated,fixed_real_rule,-2.0753243036764513,16,0.04201518822116446,2.758734824490833,4,31.760092378464236,15.3036767902737
australia_as_legislated,constant_percent at 4%,18.43113667591294,16,18.470893457330575,1.2696855356478456,7,0.5963517212645542,0.03235566702969042
australia_as_legislated,amortisation at 0%,14.41473955516679,16,14.5113824721992,0.8256482504852919,7,1.4496437554861519,0.10056676708852118
australia_as_legislated,amortisation at 2%,17.555558455234156,16,17.543909159525636,0.8224731263265446,7,-0.1747394356277887,0.009953510511976365
australia_as_legislated,amortisation at 4%,21.43204182893157,16,21.300703186852953,0.8732835220444471,7,-1.97007963117926,0.09192216247543002
australia_as_legislated,amortisation at 6%,24.867443673409674,16,24.65703918012055,0.9915582397504832,7,-3.1560673993368837,0.12691563478684428
australia_as_legislated,amortisation at 8%,26.629322447139913,16,26.40843678596756,1.1359458114630994,7,-3.3132849175852996,0.12442242659993621
australia_as_legislated,amortisation at 10%,26.373926413618598,16,26.19112490740993,1.2423177307067983,7,-2.742022593130038,0.10396717387192492
us_social_security,fixed_real_rule,11.086182249895549,16,11.050145485775165,0.6256489288088065,8,-0.5405514618057605,0.04875902719449281
us_social_security,constant_percent at 4%,17.9232692563996,16,17.897494605803978,0.933224804446607,7,-0.3866197589343301,0.02157082803385802
us_social_security,amortisation at 0%,16.38889125298626,16,16.297409634174812,0.6721589165044044,7,-1.3722242821716968,0.08372892717325588
us_social_security,amortisation at 2%,18.214137207387758,16,18.120351197455026,0.7794553069877448,7,-1.406790148990975,0.07723616732284047
us_social_security,amortisation at 4%,19.601366301885736,16,19.522468965498973,0.8959401222575926,7,-1.18346004580145,0.060376405785937275
us_social_security,amortisation at 6%,20.244360414136864,16,20.194798743774314,1.000418480925403,7,-0.7434250554382515,0.0367225755830305
us_social_security,amortisation at 8%,19.971778171737277,16,19.95390515651433,1.0608433585732904,7,-0.26809522834419397,0.013423703489936835
us_social_security,amortisation at 10%,18.826847455709927,16,18.83147591769358,1.0538200161753097,7,0.06942692975480114,0.0036876556161687542
